"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"09/10/2025","26,347.5","26,354.0","26,363.0","26,346.5","","-0.05%"
"08/10/2025","26,360.0","26,357.5","26,373.5","26,342.0","","-0.02%"
"07/10/2025","26,365.0","26,357.5","26,385.0","26,347.5","","0.00%"
"06/10/2025","26,365.0","26,372.5","26,406.5","26,349.0","","-0.06%"
"03/10/2025","26,381.0","26,377.5","26,399.0","26,363.5","","-0.05%"
"02/10/2025","26,395.5","26,412.5","26,425.0","26,369.0","","-0.05%"
"01/10/2025","26,410.0","26,427.5","26,429.0","26,351.0","","-0.06%"
"30/09/2025","26,427.0","26,425.0","26,432.0","26,404.5","","0.02%"
"29/09/2025","26,421.0","26,410.0","26,433.5","26,395.0","","0.04%"
"26/09/2025","26,410.0","26,397.5","26,422.5","26,383.0","","0.02%"
"25/09/2025","26,405.0","26,418.0","26,428.0","26,391.5","","-0.05%"
"24/09/2025","26,419.0","26,415.0","26,432.0","26,365.0","","0.00%"
"23/09/2025","26,420.0","26,414.0","26,436.0","26,370.0","","0.01%"
"22/09/2025","26,417.5","26,385.5","26,428.0","26,360.0","","0.13%"
"19/09/2025","26,382.5","26,384.0","26,405.0","26,362.5","","-0.01%"
"18/09/2025","26,385.0","26,360.0","26,399.0","26,352.5","","0.04%"
"17/09/2025","26,375.0","26,370.5","26,394.5","26,346.0","","-0.03%"
"16/09/2025","26,382.5","26,380.0","26,401.5","26,362.0","","-0.01%"
"15/09/2025","26,385.0","26,387.0","26,402.5","26,362.0","","0.00%"
"12/09/2025","26,385.0","26,389.0","26,412.5","26,370.5","","-0.07%"
"11/09/2025","26,402.5","26,397.5","26,417.5","26,370.0","","0.03%"
"10/09/2025","26,395.0","26,385.0","26,408.5","26,355.5","","0.03%"
"09/09/2025","26,387.5","26,407.0","26,425.0","26,365.0","","-0.10%"
"08/09/2025","26,415.0","26,374.5","26,431.5","26,367.5","","0.06%"
"05/09/2025","26,400.0","26,395.0","26,415.0","26,380.0","","0.04%"
"04/09/2025","26,390.0","26,385.0","26,405.0","26,367.5","","0.01%"
"03/09/2025","26,387.5","26,329.0","26,390.0","26,295.5","","0.16%"
"02/09/2025","26,345.0","26,345.0","26,345.0","26,345.0","","0.00%"
"01/09/2025","26,345.0","26,345.0","26,345.0","26,345.0","","0.00%"
"29/08/2025","26,345.0","26,345.0","26,375.0","26,332.5","","-0.11%"
"28/08/2025","26,375.0","26,356.0","26,382.0","26,325.0","","-0.02%"
"27/08/2025","26,380.0","26,370.0","26,402.5","26,325.0","","0.06%"
"26/08/2025","26,365.0","26,319.0","26,377.5","26,295.5","","0.23%"
"25/08/2025","26,305.0","26,300.0","26,368.0","26,289.0","","-0.17%"
"22/08/2025","26,350.0","26,428.0","26,447.5","26,320.0","","-0.31%"
"21/08/2025","26,432.5","26,400.5","26,457.0","26,328.5","","0.16%"
"20/08/2025","26,390.0","26,321.0","26,390.0","26,290.0","","0.27%"
"19/08/2025","26,320.0","26,305.0","26,331.0","26,282.5","","0.08%"
"18/08/2025","26,300.0","26,272.0","26,309.5","26,245.0","","0.11%"
"15/08/2025","26,270.0","26,270.0","26,332.5","26,245.0","","0.02%"
"14/08/2025","26,265.0","26,282.0","26,303.5","26,245.0","","-0.10%"
"13/08/2025","26,290.0","26,261.0","26,332.5","26,230.0","","0.08%"
"12/08/2025","26,270.0","26,238.5","26,282.5","26,200.0","","0.14%"
"11/08/2025","26,233.0","26,228.0","26,239.0","26,218.5","","0.03%"
"08/08/2025","26,225.0","26,210.0","26,237.5","26,170.0","","0.04%"
"07/08/2025","26,215.0","26,213.0","26,237.0","26,199.0","","-0.04%"
"06/08/2025","26,225.0","26,245.0","26,282.5","26,186.0","","-0.10%"
"05/08/2025","26,250.0","26,185.0","26,263.5","26,164.0","","0.28%"
"04/08/2025","26,176.5","26,207.5","26,226.0","26,147.5","","-0.17%"
"01/08/2025","26,220.0","26,212.5","26,234.0","26,170.5","","0.08%"
"31/07/2025","26,199.0","26,227.5","26,232.5","26,172.5","","-0.01%"
"30/07/2025","26,202.5","26,225.5","26,266.5","26,190.0","","-0.09%"
"29/07/2025","26,225.0","26,162.5","26,260.0","26,162.5","","0.10%"
"28/07/2025","26,200.0","26,145.0","26,221.0","26,127.5","","0.21%"
"25/07/2025","26,145.0","26,132.5","26,158.0","26,112.5","","0.04%"
"24/07/2025","26,135.0","26,157.5","26,163.0","26,116.5","","-0.06%"
"23/07/2025","26,150.0","26,147.0","26,166.5","26,120.0","","0.02%"
"22/07/2025","26,145.0","26,145.0","26,162.5","26,128.5","","-0.04%"
"21/07/2025","26,155.0","26,155.0","26,168.5","26,139.0","","-0.02%"
"18/07/2025","26,160.0","26,155.0","26,173.0","26,138.0","","0.00%"
"17/07/2025","26,160.0","26,167.5","26,172.5","26,129.0","","0.00%"
"16/07/2025","26,160.0","26,160.0","26,182.5","26,125.0","","0.09%"
"15/07/2025","26,137.5","26,140.0","26,151.5","26,100.0","","0.05%"
"14/07/2025","26,125.0","26,110.0","26,137.5","26,085.0","","0.04%"
"11/07/2025","26,114.5","26,105.0","26,137.0","26,065.0","","0.00%"
"10/07/2025","26,114.5","26,137.5","26,150.0","26,098.0","","-0.09%"
"09/07/2025","26,139.0","26,137.5","26,160.0","26,122.5","","0.02%"
"08/07/2025","26,135.0","26,148.0","26,153.5","26,086.5","","-0.04%"
"07/07/2025","26,145.0","26,202.5","26,205.0","26,086.5","","-0.13%"
"04/07/2025","26,180.0","26,210.0","26,264.5","26,155.0","","-0.08%"
"03/07/2025","26,200.0","26,215.0","26,241.5","26,145.0","","0.11%"
"02/07/2025","26,170.0","26,127.5","26,185.5","26,095.0","","0.15%"
"01/07/2025","26,130.0","26,105.0","26,170.0","26,065.0","","0.04%"
"30/06/2025","26,120.5","26,082.5","26,129.0","26,055.0","","0.10%"
"27/06/2025","26,095.0","26,120.0","26,140.0","26,061.5","","-0.10%"
"26/06/2025","26,120.0","26,140.0","26,147.5","26,098.5","","-0.13%"
"25/06/2025","26,155.0","26,155.0","26,180.0","26,128.5","","-0.06%"
"24/06/2025","26,170.0","26,180.0","26,190.5","26,131.0","","-0.17%"
"23/06/2025","26,215.0","26,135.0","26,222.5","26,115.0","","0.33%"
"20/06/2025","26,128.5","26,125.0","26,152.5","26,114.0","","0.00%"
"19/06/2025","26,128.0","26,105.0","26,143.5","26,085.0","","0.10%"
"18/06/2025","26,101.5","26,095.0","26,115.0","26,065.0","","0.08%"
"17/06/2025","26,081.5","26,070.0","26,093.0","26,048.5","","0.08%"
"16/06/2025","26,061.5","26,070.0","26,102.5","26,043.0","","-0.05%"
"13/06/2025","26,075.0","26,055.0","26,099.5","26,025.0","","0.14%"
"12/06/2025","26,037.5","26,020.0","26,042.5","26,010.0","","0.03%"
"11/06/2025","26,030.0","26,005.0","26,040.0","26,000.0","","0.07%"
"10/06/2025","26,012.5","26,042.5","26,065.0","26,010.0","","-0.12%"
"09/06/2025","26,042.5","26,094.0","26,094.0","26,022.5","","-0.04%"
"06/06/2025","26,054.0","26,075.0","26,097.0","26,030.5","","-0.11%"
"05/06/2025","26,082.5","26,085.0","26,126.5","26,058.0","","-0.01%"
"04/06/2025","26,084.0","26,045.0","26,098.0","26,025.0","","0.11%"
"03/06/2025","26,055.0","26,030.0","26,083.5","25,998.5","","0.10%"
"02/06/2025","26,029.0","26,025.0","26,046.5","25,980.0","","0.03%"
"30/05/2025","26,021.5","25,985.0","26,045.0","25,935.0","","-0.01%"
