Ngày Phát Hành,Thời gian,Thực tế,Dự báo,Trước đó
10/06/2025,02:00,3.38%,,3.24%
09/06/2025,02:00,3.24%,,3.19%
08/06/2025,02:00,3.19%,,3.57%
07/05/2025,04:30,3.57%,,3.24%
06/06/2025,02:00,3.24%,,3.12%
05/06/2025,02:00,3.12%,,3.13%
04/06/2025,02:00,3.13%,,2.91%
03/06/2025,02:00,2.91%,,3.63%
02/06/2025,02:00,3.63%,,2.94%
01/06/2025,02:00,2.94%,,2.77%
12/06/2024,02:00,2.77%,,2.89%
11/06/2024,02:00,2.89%,,2.63%
10/06/2024,02:00,2.63%,,3.45%
09/06/2024,02:00,3.45%,,4.36%
07/29/2024,02:00,4.36%,,4.34%
06/29/2024,02:00,4.34%,,4.44%
05/29/2024,02:00,4.44%,,4.40%
04/29/2024,02:00,4.40%,,3.97%
03/29/2024,02:00,3.97%,,3.98%
02/29/2024,02:00,3.98%,,3.37%
01/29/2024,02:00,3.37%,,3.58%
12/29/2023,02:00,3.58%,,3.45%
11/29/2023,02:00,3.45%,,3.59%
10/29/2023,02:00,3.59%,,3.66%
09/29/2023,02:30,3.66%,,2.96%
08/29/2023,02:00,2.96%,,2.06%
07/29/2023,02:00,2.06%,,2.00%
06/29/2023,02:00,2.00%,,2.43%
05/29/2023,02:00,2.43%,,2.81%
04/29/2023,02:00,2.81%,,3.35%
03/29/2023,02:00,3.35%,,4.31%
02/28/2023,02:00,4.31%,,4.89%
01/29/2023,02:00,4.89%,,4.55%
12/29/2022,02:00,4.55%,,4.37%
11/29/2022,02:00,4.37%,,4.30%
10/29/2022,02:00,4.30%,,3.94%
09/29/2022,02:30,3.94%,,2.89%
08/29/2022,02:00,2.89%,,3.14%
07/29/2022,02:00,3.14%,,3.37%
06/29/2022,02:00,3.37%,,2.86%
05/30/2022,02:00,2.86%,,2.64%
04/29/2022,02:00,2.64%,,2.41%
03/29/2022,02:00,2.41%,,1.42%
02/28/2022,02:00,1.42%,,1.94%
01/29/2022,02:00,1.94%,,1.81%
12/29/2021,02:00,1.81%,,2.10%
11/29/2021,02:00,2.10%,,1.77%
10/29/2021,02:00,1.77%,,2.06%
09/29/2021,02:00,2.06%,,2.82%
08/29/2021,02:00,2.82%,,2.64%
07/29/2021,02:00,2.64%,,2.41%
06/29/2021,02:00,2.41%,,2.90%
05/29/2021,02:00,2.90%,,2.70%
04/29/2021,02:00,2.70%,,1.16%
03/29/2021,02:00,1.16%,,0.70%
02/28/2021,02:00,0.70%,,-0.97%
01/29/2021,02:00,-0.97%,,0.19%
12/27/2020,02:00,0.19%,,1.48%
11/29/2020,02:00,1.48%,,2.47%
10/29/2020,02:00,2.47%,,2.98%
09/29/2020,02:00,2.98%,,3.18%
08/29/2020,02:00,3.18%,,3.39%
07/29/2020,02:00,3.39%,,3.17%
06/29/2020,02:00,3.17%,,2.40%
05/29/2020,02:00,2.40%,,2.90%
04/29/2020,02:00,2.90%,,4.90%
03/27/2020,06:30,4.90%,,5.40%
02/29/2020,02:00,5.40%,,6.43%
01/29/2020,02:00,6.43%,,5.23%
12/27/2019,06:30,5.23%,,3.52%
11/29/2019,03:00,3.52%,,2.24%
10/29/2019,02:00,2.24%,,1.98%
09/29/2019,02:00,1.98%,,2.26%
08/29/2019,02:00,2.26%,,2.44%
07/29/2019,02:00,2.44%,,2.16%
06/29/2019,02:00,2.16%,,2.88%
05/29/2019,02:00,2.88%,,2.90%
04/29/2019,02:00,2.90%,,2.70%
03/29/2019,02:30,2.70%,,2.64%
02/28/2019,03:30,2.64%,,2.56%
01/29/2019,03:00,2.56%,,2.98%
12/27/2018,07:00,2.98%,,3.46%
