date,cpi_rate,gdp_value,usd_vnd_rate,xau_usd_rate,market_cap,pe_ratio,fpt_net_revenue,fpt_gross_profit,fpt_operating_profit,fpt_net_profit,fpt_stock_price,fpt_stock_volume
2007-01-01,,,16051.0,,,,,,,,,
2007-01-02,,,16056.0,,,,,,,,10.85,81170.0
2007-01-03,,,16058.0,,,,,,,,11.09,74660.0
2007-01-04,,,16040.0,,,,,,,,11.64,148510.0
2007-01-05,,,16045.0,,,,,,,,12.2,377800.0
2007-01-08,,,16050.0,,,,,,,,12.08,351470.0
2007-01-09,,,16045.0,,,,,,,,12.08,225270.0
2007-01-10,,,16055.0,,,,,,,,12.2,314250.0
2007-01-11,,,16055.0,,,,,,,,12.33,283920.0
2007-01-12,,,16055.0,,,,,,,,12.94,279710.0
2007-01-15,,,16045.0,,,,,,,,13.58,274290.0
2007-01-16,,,16055.0,,,,,,,,14.25,339760.0
2007-01-17,,,16042.0,,,,,,,,13.56,145870.0
2007-01-18,,,16055.0,,,,,,,,13.58,282430.0
2007-01-19,,,16055.0,,,,,,,,14.25,95290.0
2007-01-22,,,16066.0,,,,,,,,14.79,461630.0
2007-01-23,,,16065.0,,,,,,,,14.84,243990.0
2007-01-24,,,16062.0,,,,,,,,14.3,156420.0
2007-01-25,,,16065.0,,,,,,,,14.3,142420.0
2007-01-26,,,16040.0,,,,,,,,14.3,129240.0
2007-01-29,,,16045.0,,,,,,,,14.91,201310.0
2007-01-30,,,16045.0,,,,,,,,15.53,324420.0
2007-01-31,,,16045.0,,,,,,,,15.9,310330.0
2007-02-01,,,16045.0,,,,,,,,15.28,114910.0
2007-02-02,,,16045.0,,,,,,,,15.53,79470.0
2007-02-05,,,16003.0,,,,,,,,14.77,110440.0
2007-02-06,,,16005.0,,,,,,,,15.41,195540.0
2007-02-07,,,15985.0,,,,,,,,15.65,116470.0
2007-02-08,,,15993.0,,,,,,,,14.89,103880.0
2007-02-09,,,15982.0,,,,,,,,14.15,194380.0
2007-02-12,,,15975.0,,,,,,,,14.84,60490.0
2007-02-13,,,15982.0,,,,,,,,15.53,160600.0
2007-02-14,,,15980.0,,,,,,,,15.04,79810.0
2007-02-15,,,15976.0,,,,,,,,15.04,59720.0
2007-02-16,,,15975.0,,,,,,,,,
2007-02-19,,,15975.0,,,,,,,,,
2007-02-20,,,15975.0,,,,,,,,,
2007-02-21,,,15975.0,,,,,,,,,
2007-02-22,,,15982.0,,,,,,,,,
2007-02-23,,,15976.0,,,,,,,,,
2007-02-26,,,15982.0,,,,,,,,15.78,231310.0
2007-02-27,,,15980.0,,,,,,,,16.39,289680.0
2007-02-28,,,15996.0,,,,,,,,15.58,69560.0
2007-03-01,,,15999.0,,,,,,,,15.16,98850.0
2007-03-02,,,15996.0,,,,,,,,15.9,163420.0
2007-03-05,,,15995.0,,,,,,,,15.65,125170.0
2007-03-06,,,15998.0,,,,,,,,14.9,200880.0
2007-03-07,,,16000.0,,,,,,,,15.05,43980.0
2007-03-08,,,16005.0,,,,,,,,14.81,85390.0
2007-03-09,,,16005.0,,,,,,,,14.81,56050.0
2007-03-12,,,16010.0,,,,,,,,15.05,87310.0
2007-03-13,,,16007.0,,,,,,,,15.05,74620.0
2007-03-14,,,16009.0,,,,,,,,14.31,57450.0
2007-03-15,,,16008.0,,,,,,,,13.6,102590.0
2007-03-16,,,16024.0,,,,,,,,14.26,102100.0
2007-03-19,,,16008.0,,,,,,,,14.26,105730.0
2007-03-20,,,16015.0,,,,,,,,13.87,100430.0
2007-03-21,,,16007.0,,,,,,,,13.2,113940.0
2007-03-22,,,16005.0,,,,,,,,13.69,139830.0
2007-03-23,,,16005.0,,,,,,,,13.69,119530.0
2007-03-26,,,16005.0,,,,,,,,13.32,107630.0
2007-03-27,,,16014.0,,,,,,,,12.66,62970.0
2007-03-28,,,16019.0,,,,,,,,12.66,126200.0
2007-03-29,,,16010.0,,,,,,,,13.28,117350.0
2007-03-30,,,16009.0,,,,,,,,13.35,90460.0
2007-03-31,,,,,,,5663584718970.0,402931492406.0,162197301132.0,155046633674.0,,
2007-04-02,,,16022.0,,,,,,,,12.83,57570.0
2007-04-03,,,16015.0,,,,,,,,12.34,64900.0
2007-04-04,,,16015.0,,,,,,,,12.68,23700.0
2007-04-05,,,16026.0,,,,,,,,12.71,50520.0
2007-04-06,,,16024.0,,,,,,,,12.58,38880.0
2007-04-09,,,16027.0,,,,,,,,12.71,48570.0
2007-04-10,,,16031.0,,,,,,,,12.86,83330.0
2007-04-11,,,16033.0,,,,,,,,12.95,44950.0
2007-04-12,,,16032.0,,,,,,,,13.32,80100.0
2007-04-13,,,16034.0,,,,,,,,12.83,149170.0
2007-04-16,,,16030.0,,,,,,,,12.95,102080.0
2007-04-17,,,16036.0,,,,,,,,12.71,31000.0
2007-04-18,,,16028.0,,,,,,,,12.83,62980.0
2007-04-19,,,16037.0,,,,,,,,12.46,74850.0
2007-04-20,,,16038.0,,,,,,,,11.84,135750.0
2007-04-23,,,16037.0,,,,,,,,11.25,56560.0
2007-04-24,,,16038.0,,,,,,,,10.71,48470.0
2007-04-25,,,16032.0,,,,,,,,10.49,221550.0
2007-04-26,,,16032.0,,,,,,,,,
2007-04-27,,,16043.0,,,,,,,,,
2007-04-30,,,16043.0,,,,,,,,,
2007-05-01,,,16043.0,,,,,,,,,
2007-05-02,,,16043.0,,,,,,,,10.68,137200.0
2007-05-03,,,16051.0,,,,,,,,10.91,152480.0
2007-05-04,,,16047.0,,,,,,,,11.45,95960.0
2007-05-07,,,16051.0,,,,,,,,12.02,136260.0
2007-05-08,,,16050.0,,,,,,,,12.34,152010.0
2007-05-09,,,16037.0,,,,,,,,12.34,104100.0
2007-05-10,,,16038.0,,,,,,,,12.95,131160.0
2007-05-11,,,16036.0,,,,,,,,13.6,165950.0
2007-05-14,,,16038.0,,,,,,,,14.26,190090.0
2007-05-15,,,16035.0,,,,,,,,13.57,76860.0
2007-05-16,,,16030.0,,,,,,,,13.13,125520.0
2007-05-17,,,16038.0,,,,,,,,13.74,153220.0
2007-05-18,,,16049.0,,,,,,,,13.35,146660.0
2007-05-21,,,16058.0,,,,,,,,13.77,283500.0
2007-05-22,,,16058.0,,,,,,,,13.77,241370.0
2007-05-23,,,16058.0,,,,,,,,13.69,274270.0
2007-05-24,,,16057.0,,,,,,,,13.32,173140.0
2007-05-25,,,16057.0,,,,,,,,13.25,203300.0
2007-05-28,,,16065.0,,,,,,,,13.21,176850.0
2007-05-29,,,16067.0,,,,,,,,12.84,186180.0
