date,cpi_rate,gdp_value,usd_vnd_rate,xau_usd_rate,market_cap,pe_ratio,fpt_net_revenue,fpt_gross_profit,fpt_operating_profit,fpt_net_profit,fpt_stock_price,fpt_stock_volume
2020-01-01,,,23171.0,1517.48,,,,,,,,
2020-01-02,,,23175.5,1531.3,,,,,,,21.39,896720.0
2020-01-03,,,23174.5,1553.45,,,,,,,21.03,2047880.0
2020-01-06,,,23178.0,1582.69,,,,,,,20.81,1091660.0
2020-01-07,,,23179.0,1577.38,,,,,,,21.21,837240.0
2020-01-08,,,23181.0,1611.0,,,,,,,20.73,1814290.0
2020-01-09,,,23180.0,1561.33,,,,,,,21.03,967050.0
2020-01-10,,,23205.0,1563.19,,,,,,,20.99,1018650.0
2020-01-13,,,23177.0,1562.3,,,,,,,20.84,786760.0
2020-01-14,,,23177.5,1548.8,,,,,,,20.81,721680.0
2020-01-15,,,23177.5,1558.23,,,,,,,20.81,940870.0
2020-01-16,,,23177.5,1558.14,,,,,,,21.17,1942970.0
2020-01-17,,,23175.5,1561.3,,,,,,,21.03,1388810.0
2020-01-20,,,23172.5,1562.81,,,,,,,20.95,1227100.0
2020-01-21,,,23174.0,1568.65,,,,,,,20.26,4351820.0
2020-01-22,,,23204.5,1559.35,,,,,,,20.63,3165650.0
2020-01-23,,,23169.0,1567.94,,,,,,,,
2020-01-24,,,23169.0,1575.76,,,,,,,,
2020-01-27,,,23169.0,1586.72,,,,,,,,
2020-01-28,,,23169.0,1583.17,,,,,,,,
2020-01-29,0.0643,,23169.0,1577.96,,,,,,,,
2020-01-30,,,23186.5,1585.97,,,,,,,19.97,2638460.0
2020-01-31,,,23228.0,1590.2,,,,,,,18.98,4118150.0
2020-02-03,,,23278.0,1591.86,,,,,,,18.8,3602970.0
2020-02-04,,,23267.5,1579.54,,,,,,,18.91,1651440.0
2020-02-05,,,23267.0,1562.31,,,,,,,18.98,1648620.0
2020-02-06,,,23228.5,1568.29,,,,,,,19.57,1708550.0
2020-02-07,,,23242.5,1574.05,,,,,,,19.46,1218660.0
2020-02-10,,,23262.5,1577.16,,,,,,,19.2,738090.0
2020-02-11,,,23262.5,1573.96,,,,,,,19.57,1085380.0
2020-02-12,,,23255.0,1570.48,,,,,,,19.75,1104870.0
2020-02-13,,,23242.5,1578.11,,,,,,,19.82,1030570.0
2020-02-14,,,23254.0,1585.04,,,,,,,19.9,884240.0
2020-02-17,,,23253.5,1584.86,,,,,,,19.79,726390.0
2020-02-18,,,23245.0,1605.35,,,,,,,20.44,1760940.0
2020-02-19,,,23248.0,1612.91,,,,,,,20.33,681250.0
2020-02-20,,,23288.5,1623.74,,,,,,,20.37,780810.0
2020-02-21,,,23251.5,1649.14,,,,,,,19.97,1458040.0
2020-02-24,,,23255.5,1688.96,,,,,,,19.16,2261990.0
2020-02-25,,,23290.0,1660.85,,,,,,,19.71,1407720.0
2020-02-26,,,23280.0,1655.07,,,,,,,20.08,3221270.0
2020-02-27,,,23259.5,1660.44,,,,,,,20.44,2927040.0
2020-02-28,,,23245.5,1649.49,,,,,,,20.11,2132200.0
2020-02-29,0.054000000000000006,,,,,,,,,,,
2020-03-02,,,23243.5,1610.78,,,,,,,20.33,1787060.0
2020-03-03,,,23241.0,1649.5,,,,,,,20.41,1193800.0
2020-03-04,,,23232.0,1651.68,,,,,,,20.26,1660790.0
2020-03-05,,,23227.5,1674.66,,,,,,,19.93,1296450.0
2020-03-06,,,23220.0,1692.11,,,,,,,19.71,1305030.0
2020-03-09,,,23218.0,1703.16,,,,,,,18.36,4735140.0
2020-03-10,,,23210.0,1680.36,,,,,,,18.87,2030340.0
2020-03-11,,,23183.0,1670.97,,,,,,,18.54,2753310.0
2020-03-12,,,23196.5,1650.13,,,,,,,17.56,3981670.0
2020-03-13,,,23223.5,1597.72,,,,,,,17.58,2919140.0
2020-03-16,,,23236.0,1573.49,,,,,,,17.38,1898960.0
2020-03-17,,,23255.0,1553.11,,,,,,,17.7,2474650.0
2020-03-18,,,23285.0,1546.05,,,,,,,17.67,1642800.0
2020-03-19,,,23430.0,1501.61,,,,,,,17.41,1296590.0
2020-03-20,,,23472.5,1516.43,,,,,,,17.41,1291360.0
2020-03-23,,,23558.5,1561.76,,,,,,,16.21,2826690.0
2020-03-24,,,23651.0,1644.35,,,,,,,16.24,2191500.0
2020-03-25,,,23630.0,1636.29,,,,,,,16.79,2131790.0
2020-03-26,,,23645.0,1645.8,,,,,,,16.14,2358310.0
2020-03-27,0.049,,23640.0,1640.76,,,,,,,15.73,2633750.0
2020-03-28,,,,,43000000000000.0,13.1,,,,,,
2020-03-30,,,23642.5,1635.59,,,,,,,14.75,2157690.0
2020-03-31,,,23635.0,1623.52,,,6630564911438.0,2624378378526.0,1127536485672.0,747105139041.0,15.0,1663050.0
2020-04-01,,,23628.0,1604.12,,,,,,,15.44,1453030.0
2020-04-02,,,23590.0,1621.27,,,,,,,,
2020-04-03,,,23605.0,1627.04,,,,,,,16.28,2072000.0
2020-04-06,,,23555.0,1669.76,,,,,,,17.34,2718990.0
2020-04-07,,,23470.0,1671.88,,,,,,,17.27,2463810.0
2020-04-08,,,23565.0,1657.06,,,,,,,17.1,1576670.0
2020-04-09,,,23532.0,1690.29,,,,,,,17.1,2142370.0
2020-04-10,,,23517.0,1696.5,,,,,,,16.94,1882020.0
2020-04-13,,,23460.0,1722.36,,,,,,,16.97,1255360.0
2020-04-14,,,23475.5,1748.5,,,,,,,18.07,4072050.0
2020-04-15,,,23478.5,1731.43,,,,,,,18.29,2205200.0
2020-04-16,,,23465.0,1738.74,,,,,,,18.36,1508480.0
2020-04-17,,,23460.0,1718.69,,,,,,,18.69,2631630.0
2020-04-20,,,23455.0,1703.02,,,,,,,18.73,2239780.0
2020-04-21,,,23465.0,1698.48,,,,,,,18.0,3737050.0
2020-04-22,,,23500.0,1719.66,,,,,,,18.65,2445860.0
2020-04-23,,,23524.0,1738.84,,,,,,,18.62,1363410.0
2020-04-24,,,23518.0,1737.89,,,,,,,18.62,1411380.0
2020-04-27,,,23510.0,1727.82,,,,,,,18.51,1419750.0
2020-04-28,,,23477.5,1716.19,,,,,,,18.51,974310.0
2020-04-29,0.028999999999999998,,23450.0,1717.52,,,,,,,18.54,1349230.0
2020-04-30,,,23428.0,1726.14,,,,,,,,
2020-05-01,,,23428.0,1706.21,,,,,,,,
2020-05-04,,,23475.0,1712.0,,,,,,,18.43,895530.0
2020-05-05,,,23427.5,1712.6,,,,,,,18.58,677990.0
2020-05-06,,,23437.5,1707.85,,,,,,,19.31,3470150.0
2020-05-07,,,23432.5,1722.02,,,,,,,19.53,2030720.0
2020-05-08,,,23475.0,1724.56,,,,,,,19.6,3585320.0
2020-05-11,,,23405.0,1713.67,,,,,,,19.71,2119430.0
2020-05-12,,,23382.5,1711.04,,,,,,,19.86,2828190.0
2020-05-13,,,23380.0,1718.33,,,,,,,21.1,6853810.0
2020-05-14,,,23386.0,1737.34,,,,,,,20.83,2597400.0
2020-05-15,,,23371.5,1753.25,,,,,,,20.53,2430890.0
2020-05-18,,,23360.0,1764.81,,,,,,,20.68,2000950.0
2020-05-19,,,23370.0,1748.77,,,,,,,21.06,2879030.0
2020-05-20,,,23311.5,1754.08,,,,,,,20.91,1245380.0
2020-05-21,,,23285.0,1750.64,,,,,,,21.08,2007060.0
2020-05-22,,,23282.0,1741.51,,,,,,,20.72,1731720.0
2020-05-25,,,23320.0,1735.57,,,,,,,20.72,2033000.0
2020-05-26,,,23338.0,1736.29,,,,,,,20.87,1615680.0
2020-05-27,,,23331.5,1715.77,,,,,,,20.53,2098580.0
2020-05-28,,,23329.0,1727.69,,,,,,,20.53,1194380.0
2020-05-29,0.024,,23305.0,1738.99,,,,,,,20.51,1346170.0
2020-06-01,,,23301.0,1744.52,,,,,,,20.66,1298150.0
2020-06-02,,,23282.0,1745.54,,,,,,,20.53,1456730.0
2020-06-03,,,23273.0,1732.92,,,,,,,20.81,1893060.0
2020-06-04,,,23274.0,1722.22,,,,,,,20.7,1260060.0
2020-06-05,,,23262.0,1716.39,,,,,,,20.83,1236200.0
2020-06-08,,,23265.0,1701.27,,,,,,,21.1,4113250.0
2020-06-09,,,23265.0,1720.75,,,,,,,20.93,1491540.0
2020-06-10,,,23220.0,1740.29,,,,,,,20.87,1307540.0
2020-06-11,,,23217.5,1744.72,,,,,,,19.67,4278060.0
2020-06-12,,,23225.0,1743.59,,,,,,,20.1,3145450.0
2020-06-15,,,23243.0,1734.78,,,,,,,19.67,1207500.0
2020-06-16,,,23235.5,1733.06,,,,,,,19.93,1100730.0
2020-06-17,,,23240.0,1730.62,,,,,,,19.82,788630.0
2020-06-18,,,23218.0,1736.87,,,,,,,19.93,822980.0
2020-06-19,,,23225.0,1745.68,,,,,,,20.1,745470.0
2020-06-22,,,23220.0,1763.82,,,,,,,20.1,787180.0
2020-06-23,,,23219.0,1771.69,,,,,,,20.33,1693730.0
2020-06-24,,,23223.0,1780.06,,,,,,,20.19,607000.0
2020-06-25,,,23220.5,1768.84,,,,,,,20.01,730810.0
2020-06-26,,,23219.0,1772.36,,,,,,,20.04,602880.0
2020-06-29,0.0317,,23216.0,1775.86,,,,,,,19.69,1281220.0
2020-06-30,,,23210.0,1786.46,,,6980002498337.0,2721754673951.0,1268042508885.0,878710517511.0,19.52,1594210.0
2020-07-01,,,23213.5,1789.27,,,,,,,19.76,866660.0
